actor_id,name,tmdb_id,headshot_url,popularity,notes,ui_status
,Ji Chang-wook,1253391,https://image.tmdb.org/t/p/w500/mbiHLujudnP9uRqlGKTpZgEi2Xf.jpg,12.7593,,
,Robby Benson,15048,https://image.tmdb.org/t/p/w500/rYcDiM9LrStdlcb80N3WAR2CsHX.jpg,12.7481,,
,Emin Günenç,3657112,https://image.tmdb.org/t/p/w500/hCcgXWHHQc3UKQ5mWLzbMsdUa5y.jpg,12.3803,,
,Jenny Tamburi,31612,https://image.tmdb.org/t/p/w500/yljphOgqRdx0zT0RkNv03on5Xfn.jpg,12.2248,,
,Tian Xiwei,2430198,https://image.tmdb.org/t/p/w500/ci7uOTYUSk4Utg9gHvqVnqCPIUn.jpg,12.099,,
,Brad Pitt,287,https://image.tmdb.org/t/p/w500/cckcYc2v0yh1tc9QjRelptcOBko.jpg,12.0451,,
,Vin Diesel,12835,https://image.tmdb.org/t/p/w500/nZdVry7lnUkE24PnXakok9okvL4.jpg,12.0093,,
,Jessie Buckley,1498158,https://image.tmdb.org/t/p/w500/jKhDQOMVQ1JP4gaUXCQg75gvsrm.jpg,11.7825,,
,Anne Hathaway,1813,https://image.tmdb.org/t/p/w500/nbccV2pMoyLTCeg5DQip24Eq0Jp.jpg,11.7431,,
,Leonardo DiCaprio,6193,https://image.tmdb.org/t/p/w500/vo4fltT9zZ1kH8nhLetz8MED6jp.jpg,11.6102,,
,Ana Luisa Peluffo,107290,https://image.tmdb.org/t/p/w500/70TzTJgZmwYAJCHWyLt3l69LpRs.jpg,11.1885,,
,Jim Carrey,206,https://image.tmdb.org/t/p/w500/y3U9QfPN6sJaGl6l68xjwWj28ig.jpg,10.8999,,
,Akshay Kumar,35070,https://image.tmdb.org/t/p/w500/1d77rFiN8h2JXE6vS8VCuc2k20J.jpg,9.4662,,
,Natascha McElhone,11317,https://image.tmdb.org/t/p/w500/sc1kLBI1jK7MicTYammnFs5JYrS.jpg,9.4536,,
,Bryce Dallas Howard,18997,https://image.tmdb.org/t/p/w500/l9KTey4DqwazBkUgIEqfvMDCkaq.jpg,9.3522,,
,Keanu Reeves,6384,https://image.tmdb.org/t/p/w500/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg,9.3268,,
,Chris Evans,16828,https://image.tmdb.org/t/p/w500/3bOGNsHlrswhyW79uvIHH1V43JI.jpg,9.3197,,
,Han Seo-ah,2374721,https://image.tmdb.org/t/p/w500/hfcHoS3o2sCLkZHJpqcnSIDaEav.jpg,9.2528,,
